                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.15413,                0.64167,                      1,                0.28241,             0.00023304,             0.00023304,             0.00023304
                      1,                0.09913,                0.71667,                      1,                0.25137,             0.00042441,             0.00042441,             0.00042441
                      2,                0.06238,                0.81667,                      1,                0.23332,             0.00056865,             0.00056865,             0.00056865
                      3,                0.04384,                0.79167,                      1,                0.23034,             0.00050194,             0.00050194,             0.00050194
                      4,                0.03314,                0.80833,                      1,                0.22699,             0.00050194,             0.00050194,             0.00050194
                      5,                0.02287,                  0.775,                      1,                0.23056,             0.00043126,             0.00043126,             0.00043126
                      6,                0.01409,                  0.825,                      1,                0.22129,             0.00036057,             0.00036057,             0.00036057
                      7,                0.00917,                0.83333,                      1,                 0.2158,             0.00028988,             0.00028988,             0.00028988
                      8,                0.00988,                0.84167,                      1,                 0.2155,              0.0002192,              0.0002192,              0.0002192
                      9,                0.00687,                0.80833,                      1,                0.21648,             0.00014851,             0.00014851,             0.00014851
